review_id,product_id,product_name,review_text,rating
5542,6,Samsung EO-BG950CBEIN,"Was really excited about the product, I was in office when I received mail and text that it is delivered.. When came home open the packaging with lot of excitement, and found an empty box.. Really disappointed..
",1
5543,6,Samsung EO-BG950CBEIN,"Good build quality; Good battery backup; ease with BT connection; good design & fit; Sound quality is very good - crisp & clear; mid tone is excellent; treble is little harsh but can be easily control through equalizer software; bass is sufficient; lastly, voice clarity through mic is excellent - best in the market (even better than Sennheiser). Most importantly, its Samsung and one can take the benefit of readily available service centres, if required.
",5
5544,6,Samsung EO-BG950CBEIN,"Very great product to use on daily basis  i do call and music listining for whole day still half of battery left till evening... great battery life...Very good clearity on bike also on both side call...Great bass and trouble....I will definetly recomand this product to buy...
",5
5545,6,Samsung EO-BG950CBEIN,"Excellent product
",5
5546,6,Samsung EO-BG950CBEIN,"Its getting disconnected frequentlyWhen iam listening to music and stop it, then go to youtube, then the sound is coming through phone speaker even though the headphone is connected.Then i have to diconnect the bluetooth and then reconnect. Then only it will work.Not sure whether the piece is defective or the model itself is like thatReally dissapointed
",1
5547,6,Samsung EO-BG950CBEIN,"just go for it. Highly recommend product. Better than any bluetooth earphones I have tried even at double the price. Better than original level U, Tagg inferno . Samsung says battery is 10 hours, I get 12 hours. Range is commemdable. Around 40mtrs easily. Looks good. Sounds good. Dual drivers, expected nothing less. only con is, the. wires are a bit on thinner side. But Samsung warranty policy is nice. They just replace your product with a new one.
",5
5548,6,Samsung EO-BG950CBEIN,"I purchased this product in Oct 2018. But started using this only after November 2018.It lasted hardly 2 months. By 5th January 2019, the following happened:+ The right earbud stopped working.+ The volume automatically started going down, even though the volume was set to max in the device (my phone) and this bluetooth device+ Often started to disconnect frequently - It was like it was having a mind of its own+ I successfully connected with two devices. But almost always one of them gets automatically disconnected after 3-4 hours. We need to re-connect this manually+ Noise cancellation is not there. So, if I talk in a crowded place, the other party will not be able to hear me clearly as there would be disturbance along with my voice tooMy suggestion: For the amount of money spent, this is definitely not worth. Please try out something else other than this. This product is only for people who have money to burn without expecting any returns.
",1
5549,6,Samsung EO-BG950CBEIN,"frequently getting disconnected in d middle of watching videos or listening.. Previously bought Cross beats... comparing to that.. Samsung is really waste.. I had waste the amount and its not worth for it..
",1
5550,6,Samsung EO-BG950CBEIN,"Sound quality is awesome, I am a frequent traveller of train & bike, I love active noise cancelation, no interruption of BT connection & battery life great. Comfy piece, yes It takes 2 3 days to get comfy with ear piece as it is heavy & big but one can get familiar with it very soon. Only draw point is earpiece cable robustness. Very thin & breakable cable used for both ear piece. It may get broken on very slight pull. Please be careful. Else excellent.
",5
5551,6,Samsung EO-BG950CBEIN,"This is one of the best earphone I have ever used. Quite comfortable to use with superb quality sound. With samsung level app you can customise the sound effect to your liking. All the battery backup is very good and will easily survive a whole day of usage.
",5
