review_id,product_id,product_name,review_text,rating
5766,7,JBL T205BT,"I was looking for a budget friendly wireless earphones similar to apple earpods as those ""in-ear"" types don't fit my ears properly.I then came across the JBL Tune 205BT randomly and I did not find any reviews online.I took the plunge and bought it. Below is my review after using it for a couple of days:**Fit/ErgonomicsI really love these earpods style earphones as these fit my ears perfectly.These are light weight and passed my running/jogging tests without any issues.Since I got these I just wear them around my neck and use it a lot without hurting my ears.Rating: 9/10**Built QualityBeing a JBL product I had no doubts that the build quality would be top notch.The cables are solid but the buttons are a bit squishy. I personally prefer clicky tactile buttons.Since these are not connected to anything physically there is no tension on the wires which are around your ears which I imagine would prolong the life of these earphones.Please note that the center button is to turn off/on and put the earphones on pairing mode.The other two buttons are to adjust the volume and you have to hold it for a second or two to skip tracks.Rating: 7/10**SoundTo explain this better I’ll compare this with my previous earphones - Boat Bassheads which is fairly common.Now, the Boat earphones are the ""in-ear"" type and these usually provide better bass since they have a better seal and tunnel the sound directly in your ear but when I used them the bass seemed to be seriously lacking.I had enabled my phone's equalizer and used other software mods (Viper) to improve the sound but still the bass sounded ""hollow"" like a deep snare drum.The JBL Tune 205BT is a thousand times better in the bass department as I found it to be really deep and it has that thump (because of the 12.5mm drivers).I'm really impressed that these earpods sound better than in-ear earphones and are better than Apple’s earpods too. I also used previously a couple of Philips’ earpods style earphones but they too had the hollow bass effect.I'm currently using the JBL Tune 205BT earphones without any equalizer as I find it to be tuned perfectly out of box. I generally listen to Hip-Hop and these JBL earphones really do it justice especially the 808 kicks.I was a bit sceptic at first about the sound reading the reviews of the wired version of these earphones online but I guess the people who are complaining about the bass not being good are really conditioned to crank up the bass to the maximum which then overpowers the overall sound spectrum.Rating: 9/10**Volume & Noise CancellationSince these are Bluetooth earphones the overall volume will be less than the wired ones.That being said, I found the volume to be enough and then some more.Don't expect noise cancellation on these because of the earpods style tips but that's great for people who jog/run as you have to pay attention to cars, people shouting etc. but turning up the volume you generally don't hear outside sounds. I tend to keep mine around 70-75% volume.The sound doesn't distort at maximum volume.Rating: 7/10**Connectivity, Range & CallsThe JBL Tune 205BT earphones support Bluetooth 4.0 meaning no aptX or aptxHD codec support but that's okay because the improvements are only apparent when listening to high bitrate music (FLAC).(I have subscription to Google Play Music which plays music in 256kbps and I have no issues with the quality).Once these earphones have been paired to your phone, the next time you turn it on it connects in 1-2 seconds.I did not experience any disconnects or any lags. The range was pretty good, I leave the phone on the charger and move around the house without any interruptions.When we talk about calls, I didn't find these earphones that good because the microphone rests on your shoulder and I'm not one of those who shouts when talking on the phone but if you have a loud voice then this might work for you.Rating: 8/10**Battery Life & Charging timeThe charging takes around 1 to 1.5 hours to charge from 0% all the way till 100% and based on my usage (which is a lot) these earphones easily last me a day.Your mileage might vary.Added bonus: You get the battery info on the status bar. I'm using OP3T on Oreo.Rating: 8/10**PriceI thought thousands of times before buying these as I never spent so much for earphones before.But in retrospect I'm glad I did buy these especially considering what you're getting in return.Rating: 10/10***ConclusionIf you're on a budget and want earpods style Bluetooth earphones then please buy this.You won't find anything similar or even close to the sound that you’re getting. I have many JBL products (2 Bluetooth speakers, 1 home theatre system) so I can vouch for the sound.If you're a Hip-Hop or an EDM head then you can buy this too as these have big drivers which won’t disappoint you if you crank up the bass using software equalizers.If this is your first pair of Bluetooth earphones then be ready to be pleasantly surprised as these make your lives so much easier and I cannot imagine going back to wired earphones.
",5
5767,7,JBL T205BT,"Even though, the Sound Quality and In Ear design is good, for couple of Ergonomic reasons, I am not satisfied with the following Features in the Ear Phones:1. Skipping/Changing songs- Very difficult. need to Hold for 2 Secs to change- Which is  very difficult while you are on a  jog/fast run. Need to completely slow down and Hold the Button.2. Volume Changing Button is inside and it takes couple of seconds to locate the VOlume Button and Press. Tedious and Very much iritating.3. The Driver Set and Mic Piece is very large and and heavy and which makes the ear piece to fall off while on a run/Jog.4. There is NO option for Clipping to our sports wear to avoid a Fall off.I had faced this Troubles More number of time in first 1 hour of the usage.  I feel my Present Iphone wired Earphones are the best.Please consider this feedback and have some deign Modification.I dont have Any Feedback on the Seller. Seller Communication  and Delivery was Perfect and very much Satisfied.I have requested for the Refund for Earphone.
",3
5768,7,JBL T205BT,"Points:*Good & comfortable  for big ears.*Easy to connect.*Default output is indi classical.*Battery backu is 5hrs on multimedia use and 6hrs on call.*No noise canceling.*Wire length is starndard for average hight persons.*Avoid using under helmet, it’s not comfortable.*It’s worth of money as per quality.*Light weight and easy to carry. 2 hrs to 100% charge.
",5
5769,7,JBL T205BT,"🔋 Battery Life: Average>High🔊Sound Quality: Superb/Clear sound with Pure Bass📞Noise Cancellation: I do not care about that, it's clear.⚖️Weights: Very light and easy to use. Tangle free.✓Available feature:Play/Pause, Previous, Next button, Volume Up/Down✓ You can also use as fashion necklace when you don't use. Just put on your neck and use in build clipper.✓ Check the battery life(%) on your phone while connected to Bluetooth.✓ I'm happy with this product, atleast I am. Using OnePlus 5T.✓ If you're looking for this items, check frequently so that you will get the best offer. So that you will save 300/400 cash.Thanks
",5
5770,7,JBL T205BT,"I'm not happy with this product. If you've use JBL earphones before, you won't get feel like JBL from this product. I've purchased this product in ""Rs 2399""💰 but made quality is not like the price. And important topic is, after every few minutes it'll automatically disconnect from device you connected if you get any call. Sometimes it unable to response when we've to power off the earphones. If you're reading this don't buy this product, go for another one otherwise order from JBL OFFICIAL SITE, you'll get low price also.
",1
5771,7,JBL T205BT,"I used it with OnePlus 6. The sound quality is very poor. There is no way you can increase the sound output.The built is okay. Earphones fit nicely in the ear.Also there is issue of music not playing after a call in between.Overall suggestions don't buy it. No point in purchasing when you can't hear music.
",2
5772,7,JBL T205BT,"My first JBL earbud. Straight to point :1 Sound quality - It's pretty good, clarity and tones. No thumping bass, but you should consider that these are not high end headphones but earphones.  But you will get good bass, notes are clear. I had used apple earphones before and I consider them the best in earphone category and JBL is in par with it. And here it is wireless.2. Battery life - Is good and holding 5 hrs3. Connectivity - Very smooth and no hiccups of any sort. I am using it with iphone. P.s - Near iphone battery life, it shows earphone battery life as well. I like it !!!4. Noise cancellation - I don't know why people are rating noise cancellation for these earphones. It doesn't apply here. If you want noise cancellation earphones/headphones then you have to pay much extra bucks and buy which specifically mentions 'Noise Cancellation headphones'That's it.
",4
5773,7,JBL T205BT,"The product i recieved is not even original. This is really disappointing i saw the same earphones at croma which were genuine and sound quality was way better than these. Material used for this product is awful.
",1
5774,7,JBL T205BT,"I bought these a few days back and after a lot of thought. Here's my impression:PROS:1. Sound quality - these Bluetooth earphones are quite clear and crisp which I loved, however I find that on call and even in general the volume output is low so often you have to keep it on maximum which I don't think it's heathy at all.2. Noise cancellation - these earphones have zero noise cancellation since they are not earbud style, so if you are in noisy traffic chances are you will struggle to hear music and the caller on the line3. Bluetooth range - the range is good, you can get as far as one room away with no distortion nor disturbance which is very pleasant, I really liked that. However it struggles to stay connected should you travel any further than that. Decent range, works for me4. Built quality - the build quality is as can be expected for an earphone in the range but even then it's good, well finished and the flat cable really does help quite a bit to keep from a tangled mess!5. Battery life - with medium usage it lasted me close to 1½ days on a single charge which is not shabby.CONS:1. The design of the headset with the battery on the one side and the microphone unit on the other is very flawed because inadvertently if you are using only one earphone the battery unit pulls the microphone to the back of your head and you have to constantly adjust. It happens even when you wear both, either a neckband on the section that goes around or even a clip to tighten the wire on the back of the head would have been a good addition2. The earphones - I found that since these rest just inside the ear opening they need constant adjusting as they tend to shift as you are working or moving, plus my ears started hurting a little as some point, not to the extent of returning these or not keeping them in but I believe providing mini ear hooks would have been a good idea so that they keep the earphones snug and immobile
",3
5775,7,JBL T205BT,"Bought this 1 month back. Very impressive sound quality and reasonable bass and noise cancellation as well. But lacking few important features. 1) No multipoint connection. You can pair to only one device at a time 2) No auto off (battery saving feature) when not in connection with any of your devices. It drains battery at the end of the day even if not connected! and not available to use (due to batter drain throughout the day) when you really want to use it. 3) No magnet in the backside of the earbuds. So, you need to take extra care when you hang them around your neck.I am unhappy with these drawbacks at this price because, my 1200Rs BT earbuds is having these features built in. Hence giving 3* even though I like the sound quality.
",3
